countryName,totalVotes,demoVotes,repVotes
Alabama,1883449,1176394,693933
Alaska,312598,190889,111025
Arizona,2012585,1104294,893524
Arkansas,1054945,572898,469953
California,12421852,5509826,6745485
Colorado,2130330,1101255,1001732
Connecticut,1578769,693826,857488
Delaware,375190,171660,200152
Dist. of Col.,227586,21256,202970
Florida,7609810,3964522,3583544
Georgia,3301875,1914254,1366149
Hawaii,429013,194191,231708
Idaho,598447,409235,181098
Illinois,5274322,2345946,2891550
Indiana,2468002,1479438,969011
Iowa,1506908,751957,741898
Kansas,1187756,736456,434993
Kentucky,1795882,1069439,712733
Louisiana,1943106,1102169,820299
Maine,740752,330201,396842
Maryland,2386678,1024703,1334493
Massachusetts,2912388,1071109,1803800
Michigan,4839252,2313746,2479183
Minnesota*,2828387,1346695,1445014
Mississippi,1152145,684981,458094
Missouri,2731364,1455713,1259171
Montana,450445,266063,173710
Nebraska,778186,512814,254328
Nevada,829587,418690,397190
New Hampshire,677738,331237,340511
New Jersey,3611691,1670003,1911430
New Mexico,756304,376930,370942
New York,7391036,2962567,4314280
North Carolina,3501007,1961166,1525849
North Dakota,312833,196651,111052
Ohio,5627908,2859768,2741167
Oklahoma,1463758,959792,503966
Oregon,1836782,866831,943163
Pennsylvania,5769590,2793847,2938095
Rhode Island,437134,169046,259765
South Carolina,1617730,937974,661699
South Dakota,388215,232584,149244
Tennessee,2437319,1384375,1036477
Texas,7410765,4526917,2832704
Utah,927844,663742,241199
Vermont,312309,121180,184067
Virginia,3198367,1716959,1454742
Washington,2859084,1304894,1510201
West Virginia,755887,423778,326541
Wisconsin,2997007,1478120,1489504
Wyoming,243428,167629,70776
