countryName,totalVotes,demoVotes,repVotes
Alabama,2323282,849624,1441170
Alaska,359530,153778,189951
Arizona,3387326,1672143,1661686
Arkansas,1219069,423932,760647
California,17500881,11110250,6006429
Colorado,3256952,1804352,1364607
Connecticut,1824280,1080680,715291
Delaware,504010,296268,200603
District of Columbia,344356,317323,18586
Florida,11067456,5297045,5668731
Georgia,4997716,2473633,2461854
Hawaii,574469,366130,196864
Idaho,868014,287021,554119
Illinois,6033744,3471915,2446891
Indiana,3033121,1242416,1729519
Iowa,1690871,759061,897672
Kansas,1372303,570323,771406
Kentucky,2136768,772474,1326646
Louisiana,2148062,856034,1255776
Maine,819461,435072,360737
Maryland,3037030,1985023,976414
Massachusetts,3631403,2382202,1167202
Michigan,5539301,2804040,2649852
Minnesota,3277171,1717077,1484065
Mississippi,1313759,539398,756764
Missouri,3025962,1253014,1718736
Montana,603640,244786,343602
Nebraska,951712,374583,556846
Nevada,1405376,703486,669890
New Hampshire,806205,424937,365660
New Jersey,4549353,2608335,1883274
New Mexico,923965,501614,401894
New York,8594826,5230985,3244798
North Carolina,5524804,2684292,2758775
North Dakota,361819,114902,235595
Ohio,5922202,2679165,3154834
Oklahoma,1560699,503890,1020280
Oregon,2374321,1340383,958448
Pennsylvania,6915283,3458229,3377674
Rhode Island,517757,307486,199922
South Carolina,2513329,1091541,1385103
South Dakota,422609,150471,261043
Tennessee,3053851,1143711,1852475
Texas,11315056,5259126,5890347
Utah,1488289,560282,865140
Vermont,367428,242820,112704
Virginia,4460524,2413568,1962430
Washington,4087631,2369612,1584651
West Virginia,794652,235984,545382
Wisconsin,3298041,1630866,1610184
Wyoming,276765,73491,193559
